aX,aY,aZ,gX,gY,gZ
-0.108,0.053,0.904,24.475,1.709,35.522
-0.067,0.042,0.882,33.997,3.479,31.738
-0.036,0.031,0.839,42.358,5.066,25.330
-0.071,0.009,0.799,45.593,4.883,19.836
-0.087,-0.050,0.794,41.565,2.502,17.578
-0.130,-0.092,0.803,30.823,-4.395,19.897
-0.168,-0.124,0.825,17.273,-9.155,25.635
-0.189,-0.163,0.846,7.446,-11.658,30.334
-0.203,-0.182,0.859,1.404,-12.512,30.334
-0.205,-0.097,0.861,-1.038,-8.728,27.100
-0.208,-0.040,0.906,0.671,1.282,22.522
-0.155,-0.023,0.954,4.883,14.465,20.142
-0.125,0.040,0.997,6.836,22.339,19.897
-0.151,0.059,1.060,8.179,22.583,20.081
-0.189,-0.003,1.112,11.902,17.456,23.437
-0.149,-0.099,1.118,15.381,7.690,31.677
-0.090,-0.144,1.076,15.198,-4.028,41.382
-0.066,-0.216,1.040,10.132,-15.747,44.922
-0.090,-0.263,1.001,1.160,-24.597,41.138
-0.092,-0.247,0.960,-8.362,-27.466,32.837
-0.115,-0.153,0.944,-16.296,-23.071,20.752
-0.121,-0.068,0.999,-22.339,-10.132,7.507
-0.079,-0.001,1.088,-27.161,7.568,-1.648
-0.082,0.071,1.203,-32.715,18.372,-6.653
-0.129,0.091,1.311,-36.377,18.188,-7.690
-0.158,0.099,1.379,-33.569,10.986,-3.845
-0.172,0.090,1.362,-24.536,-0.366,4.089
-0.184,0.043,1.291,-12.329,-11.841,12.024
-0.178,0.009,1.199,-1.587,-20.569,17.212
-0.184,-0.018,1.116,5.371,-23.743,18.250
-0.178,-0.029,1.036,8.545,-21.545,16.113
-0.182,0.007,0.986,7.385,-15.625,11.902
-0.205,0.039,0.970,2.380,-7.935,6.226
-0.209,0.070,0.986,-4.395,0.122,1.465
-0.190,0.110,1.011,-10.132,8.362,-1.038
-0.179,0.191,1.063,-13.977,15.015,-1.465
-0.187,0.251,1.142,-14.221,19.287,1.282
-0.162,0.245,1.200,-8.362,21.667,7.935
-0.106,0.238,1.199,1.587,19.653,15.503
-0.069,0.215,1.176,11.108,12.817,19.287
-0.054,0.193,1.131,18.433,3.723,20.447
-0.040,0.182,1.063,23.193,-4.944,20.447
-0.024,0.181,0.989,24.902,-10.864,19.104
-0.037,0.198,0.921,22.705,-13.550,16.174
-0.050,0.219,0.887,17.151,-12.512,11.902
-0.060,0.240,0.883,9.705,-7.874,6.836
-0.070,0.258,0.915,2.380,-1.648,1.221
-0.075,0.284,0.953,-3.113,4.700,-4.272
-0.114,0.341,1.001,-5.127,8.728,-8.240
-0.153,0.370,1.041,-2.502,11.353,-9.155
-0.149,0.376,1.051,3.723,12.024,-6.226
-0.137,0.382,1.034,10.254,8.789,-2.502
-0.146,0.364,1.003,15.015,3.296,0.305
-0.147,0.340,0.974,17.151,-1.953,3.235
-0.137,0.315,0.940,16.663,-7.080,6.714
-0.127,0.294,0.906,14.343,-10.925,9.705
-0.110,0.280,0.876,10.681,-11.780,11.047
-0.101,0.269,0.865,6.409,-11.047,11.108
-0.095,0.275,0.870,2.014,-8.789,9.460
-0.099,0.281,0.896,-0.366,-3.906,5.737
-0.320,-1.008,1.372,-2.136,18.677,19.531
-0.300,-1.064,1.350,-3.479,13.977,17.944
-0.281,-1.098,1.314,-5.859,11.963,14.038
-0.267,-1.123,1.290,-8.240,13.306,7.996
-0.259,-1.138,1.271,-10.315,17.334,0.977
-0.243,-1.118,1.245,-12.634,21.057,-5.676
-0.243,-1.041,1.225,-16.235,22.949,-12.024
-0.224,-0.888,1.226,-19.470,24.719,-16.357
-0.214,-0.690,1.242,-18.005,26.855,-16.479
-0.165,-0.539,1.236,-10.071,27.588,-11.169
-0.049,-0.390,1.189,1.282,21.606,-0.977
0.089,-0.246,1.049,11.658,6.165,11.475
0.270,-0.154,0.865,15.381,-17.151,22.034
0.431,0.029,0.677,8.972,-46.814,25.208
0.589,0.250,0.487,0.366,-68.298,18.677
0.705,0.491,0.331,-4.944,-69.214,1.404
0.784,0.744,0.199,-9.338,-53.223,-24.109
0.761,1.124,0.168,-19.592,-30.640,-54.565
0.793,1.460,0.147,-36.194,-9.033,-78.613
0.625,1.801,0.336,-58.105,6.592,-97.900
0.422,2.112,0.491,-73.608,2.441,-101.746
0.276,2.275,0.620,-89.417,-2.319,-104.492
0.028,2.361,0.745,-96.069,-11.963,-108.948
-0.291,2.416,0.874,-94.543,-19.775,-109.009
